 Pos,Team,Matches,Points,Rating
1,India,44,5010,114
2,Australia,32,3572,112
3,New Zealand,29,3229,111
4,England,36,3988,111
5,Pakistan,25,2649,106
6,South Africa,27,2775,103
7,Bangladesh,36,3415,95
8,Sri Lanka,34,2976,88
9,Afghanistan,20,1419,71
10,West Indies,41,2902,71
11,Ireland,25,1300,52
12,Scotland,35,1567,45
13,Zimbabwe,28,1201,43
14,Netherlands,21,673,32
15,Oman,30,919,31
16,Namibia,32,959,30
17,Nepal,37,1038,28
18,USA,31,821,26
19,UAE,32,668,21
20,PNG,36,284,8
